Topic,Activity,Assessment,KPI
"Day 1: Core Basics (Variables, Data Types, Operators incl. Temporal API)","20min W3Schools 'Variables'/'Data Types'/'Operators' + Temporal basics [web:1][web:12]","5 console.log exercises on types/operators/Temporal.now() [web:12]","Complete 80% exercises without errors; log 10 data type/Temporal examples"
"Day 1: Core Basics (Control Structures)","30min 'If Else'/'Switch' + nullish coalescing (??) [web:1][web:12]","Quiz: Write if-else with ?? for even/odd + Temporal date check","Pass W3Schools quiz (90%); 1 working condition script"
"Day 2: Arrays & Loops (Array Methods ES2025)","25min 'Arrays' + new findLast/findLastIndex [web:1][web:12]","Filter evens + findLast even from [1-20]","Array methods work correctly incl. ES2025; output matches expected"
"Day 2: Functions (Arrow + Logical Assignment)","25min 'Functions' + ||= &&= ??= operators [web:1][web:12]","3 functions: sum/filter/reverse using logical assignment","Functions reusable, no syntax errors; test cases pass"
"Day 3: Objects & Scope (Object.hasOwn + Private Fields)","20min 'Objects' + Object.hasOwn() + #private [web:1][web:12]","Destructure + check private prop with hasOwn","Object methods access data; private fields inaccessible externally"
"Day 3: Scope (Top-level await + Hoisting)","30min 'Scope' + top-level await in modules [web:1][web:12]","Fix hoisted var + top-level await fetch","Understand hoisting; async loads without function wrapper"
"Day 4: DOM Manipulation (Explicit Resource Mgmt)","30min 'DOM Intro'/'Events' + usingDisposable [web:1][web:12]","Toggle button + dispose event listener properly","DOM changes on event; resources cleaned up (no leaks)"
"Day 4: Forms (Pattern Matching)","20min 'Forms' + RegExp v flag patterns [web:1][web:12]","Validate form with modern RegExp patterns","Prevent default; display unicode-aware validation"
"Day 5: Asynchronous JS (Promise.withResolvers + Async Iterator)","25min 'Promises' + Promise.withResolvers() [web:1][web:12]","Promise chain with manual resolve/reject control","Async code runs; custom promise control works"
"Day 5: Async/Await (Async Generator Changes)","25min 'Async/Await' + for await...of improvements [web:1][web:12]","Await promise stream, handle early break","Output async data stream; proper cleanup on break"
"Day 6: Advanced APIs (Fetch with Abort + RegExp /v)","30min 'Fetch' + AbortController + setTimeout abort [web:1][web:12]","Store/retrieve JSON with timeout safety","Data persists; fetch aborts cleanly on timeout"
"Day 6: Browser APIs (Temporal + Intl.Segmenter)","20min Temporal full date/time + text segmentation [web:1][web:12]","Temporal date formatter + segment emojis/locales","Temporal replaces Date; proper locale segmentation"
"Day 7: ES2025+ Review (ArrayBuffer.transfer + Hashbang)","40min ArrayBuffer.transfer() + #!/usr/bin/env node [web:1][web:12]","Transfer buffer ownership + shebang module","Capstone: Temporal-based to-do with transferable data"
"Day 7: Modules & Best Practices (Import Attributes)","20min Import attributes (?json) + Promise.allSettled review [web:1][web:12]","Import JSON with attributes + debug multi-promise","All weekly quizzes 85%+; ES2025 features in mini-project"
"Day 7: Complete Coverage (New Methods Summary)","10min Review: toSorted(), flatMap(), at(), hasOwn(), findLast() [web:12]","Mixed ES2025 challenge implementing 3+ new methods","90% feature coverage; production-ready patterns used"
